idProductNutrient;Proteins;ProteinsId;ProductId
5092;1.76908902472654;4; 699
5093;3.97529617910972;4; 700
5094;7.89069903549335;4; 701
5095;4.14348335548017;4; 702
5096;7.87130705098746;4; 703
5097;2.16821611512739;4; 704
5098;3.3545473290498;4; 705
5099;0.871258067386772;4; 706
5100;1.24596151926443;4; 707
5101;1.70257174003362;4; 708
5102;7.29338678447358;4; 709
5103;5.84619442959397;4; 710
5104;1.81722149463826;4; 711
5105;5.33850144642667;4; 712
5106;2.50353989325056;4; 713
5107;2.0474091782394;4; 714
5108;3.793845534911;4; 715
5109;7.21810107465959;4; 716
5110;0.689743961348164;4; 717
5111;7.30629780762466;4; 718
5112;0.787747083554165;4; 719
5113;6.08974983810818;4; 720
5114;5.42570329337168;4; 721
5115;7.93498591017363;4; 722
5116;0.265619874232052;4; 723
5117;5.91432334263982;4; 724
5118;7.94054052268539;4; 725
5119;6.05259568276888;4; 726
5120;0.653098126914061;4; 727
5121;5.18658484056074;4; 728
5122;2.96743464840499;4; 729
5123;4.15992390751154;4; 730
5124;5.36498435740897;4; 731
5125;2.75883451399209;4; 732
5126;5.59383712399406;4; 733
5127;5.93834572991495;4; 734
5128;5.03551010699951;4; 735
5129;0.0410683525969269;4; 736
5130;6.20496223023778;4; 737
5131;6.43109461316354;4; 738
5132;5.71062190605307;4; 739
5133;6.89722035262063;4; 740
5134;1.31163187156526;4; 741
5135;4.868422255491;4; 742
5136;6.9753509264547;4; 743
5137;1.80487492771066;4; 744
5138;6.39963831052902;4; 745
5139;2.63731627565502;4; 746
5140;2.06377622902499;4; 747
5141;1.27836070999474;4; 748
5142;4.9126027039786;4; 749
5143;4.08804009044095;4; 750
5144;1.59091053064548;4; 751
5145;7.21404265611997;4; 752
5146;5.3976045178724;4; 753
5147;3.22726724185023;4; 754
5148;1.72052431775226;4; 755
5149;4.43366878535179;4; 756
5150;2.8479533115906;4; 757
5151;1.82125761017557;4; 758
5152;2.13429529985098;4; 759
5153;0.628817183373013;4; 760
5154;2.15178759107947;4; 761
5155;6.23113548845205;4; 762
5156;4.60880967036069;4; 763
5157;5.8362731363838;4; 764
5158;2.31120989252584;4; 765
5159;0.547003805027123;4; 766
5160;6.35081826539141;4; 767
5161;0.318433987610013;4; 768
5162;6.5819588588224;4; 769
5163;1.20456305290557;4; 770
5164;3.81553026982106;4; 771
5165;5.99500574208364;4; 772
5166;4.79246750918615;4; 773
5167;0.136762901688861;4; 774
5168;2.54965431959829;4; 775
5169;3.05214146657875;4; 776
5170;2.83008117155037;4; 777
5171;0.782672194121316;4; 778
5172;7.62361409865728;4; 779
5173;3.01210748345314;4; 780
5174;6.432132213559;4; 781
5175;2.55400111927966;4; 782
5176;0.228350319508302;4; 783
5177;1.65932171312145;4; 784
5178;1.97815869179935;4; 785
5179;2.29168421974727;4; 786
5180;0.226272584001694;4; 787
5181;3.41447945247378;4; 788
5182;7.98612559763951;4; 789
5183;0.582862233069098;4; 790
5184;7.76679942148418;4; 791
5185;7.86592915294421;4; 792
5186;5.55649129274643;4; 793
5187;2.9662451142367;4; 794
5188;0.983306882122672;4; 795
5189;2.34193643715543;4; 796
5190;4.55624738392592;4; 797
5191;7.67180556543932;4; 798
5192;3.16227041433095;4; 799
5193;3.91828626610875;4; 800
5194;5.99229577949176;4; 801
5195;0.469737240864062;4; 802
5196;1.1809112990824;4; 803
5197;2.49070058638732;4; 804
5198;4.36792837648089;4; 805
5199;6.39766747010203;4; 806
5200;2.71441952834503;4; 807
5201;2.83777202407457;4; 808
5202;7.34791164705968;4; 809
5203;6.46972416736767;4; 810
5204;4.16676630262311;4; 811
5205;2.76610928283513;4; 812
5206;1.44132258796308;4; 813
5207;1.64437731626387;4; 814
5208;3.13458346770959;4; 815
5209;7.04150404935251;4; 816
5210;6.92620285476151;4; 817
5211;7.93090873336249;4; 818
